,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b0A,b0B,b0C,b0D,b0E,b0F,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b1A,b1B,b1C,b1D,b1E,b1F,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b2A,b2B,b2C,b2D,b2E,b2F,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b3A,b3B,b3C,b3D,b3E,b3F,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b4A,b4B,b4C,b4D,b4E,b4F,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b5A,b5B,b5C,b5D,b5E,b5F,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b6A,b6B,b6C,b6D,b6E,b6F,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b7A,b7B,b7C,b7D,b7E,b7F,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b8A,b8B,b8C,b8D,b8E,b8F,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b9A,b9B,b9C,b9D,b9E,b9F,bA0,bA1,bA2,bA3,bA4,bA5,bA6,bA7,bA8,bA9,bAA,bAB,bAC,bAD,bAE,bAF,bB0,bB1,bB2,bB3,bB4,bB5,bB6,bB7,bB8,bB9,bBA,bBB,bBC,bBD,bBE,bBF,bC0,bC1,bC2,bC3,bC4,bC5,bC6,bC7,bC8,bC9,bCA,bCB,bCC,bCD,bCE,bCF,bD0,bD1,bD2,bD3,bD4,bD5,bD6,bD7,bD8,bD9,bDA,bDB,bDC,bDD,bDE,bDF,bE0,bE1,bE2,bE3,bE4,bE5,bE6,bE7,bE8,bE9,bEA,bEB,bEC,bED,bEE,bEF,bF0,bF1,bF2,bF3,bF4,bF5,bF6,bF7,bF8,bF9,bFA,bFB,bFC,bFD,bFE,bFF
b00,499,489,506,472,479,529,451,473,483,484,455,496,486,478,433,451,473,536,507,439,493,489,444,503,484,465,513,482,450,473,468,486,504,484,478,487,485,481,489,463,482,534,501,494,463,478,449,470,443,447,508,457,462,507,478,510,463,485,468,483,468,539,485,435,441,472,433,490,504,468,453,478,460,507,483,462,478,471,454,528,491,472,498,461,501,486,492,516,474,503,448,483,503,493,502,472,484,511,506,487,503,474,474,447,522,515,481,485,434,492,472,481,475,495,494,472,485,479,455,497,487,486,465,505,503,445,482,462,457,478,503,464,439,491,494,451,531,445,489,443,445,483,460,519,526,495,509,484,483,454,442,484,471,491,487,481,473,452,487,486,485,453,482,447,463,504,480,464,517,471,499,484,426,502,488,471,494,484,480,531,458,459,464,499,451,490,476,461,482,473,489,494,485,463,495,469,485,470,472,515,475,477,468,446,464,497,503,485,445,470,506,501,442,547,503,504,471,466,481,480,480,469,453,446,524,501,481,516,482,473,443,429,478,484,508,493,454,497,505,514,458,508,495,522,482,464,496,493,476,490,492,484,495,480,472,557
b01,495,445,478,467,469,480,473,507,494,480,483,468,462,490,504,479,472,497,441,475,494,462,472,482,494,496,450,536,452,498,481,496,449,465,538,499,470,478,477,485,474,496,506,486,526,473,469,453,476,464,494,505,434,484,506,456,481,493,438,455,470,486,473,479,495,475,518,452,467,487,445,502,482,485,499,486,465,490,489,487,471,459,464,454,497,496,507,515,478,489,480,479,478,468,449,520,474,435,455,483,517,474,510,483,482,490,450,474,525,498,469,491,436,508,497,484,489,465,498,488,478,500,487,494,531,455,483,472,474,508,467,462,464,481,495,450,494,505,497,472,533,514,480,468,514,472,495,442,524,478,503,518,475,469,521,472,477,492,520,476,473,489,514,478,484,491,507,462,468,484,498,502,451,475,481,459,437,479,522,442,441,433,486,472,512,474,482,456,474,474,483,443,491,506,505,461,464,465,458,478,471,505,524,474,525,507,473,476,472,504,483,479,441,513,477,496,467,463,466,513,479,512,495,442,484,461,472,484,491,506,472,532,462,505,477,488,538,466,485,526,464,485,473,448,444,471,488,473,461,509,441,472,508,459,457,481
b02,482,453,510,506,469,489,497,448,481,484,523,470,455,480,475,504,461,495,476,490,482,482,506,498,475,499,484,474,504,465,500,485,494,480,467,496,477,509,447,464,446,469,504,498,456,483,475,481,489,515,489,488,504,472,498,488,488,497,458,439,487,460,483,460,465,442,485,536,487,469,496,523,497,493,460,487,456,509,499,459,489,468,469,466,476,486,465,544,463,484,465,461,476,448,441,495,478,451,522,450,458,477,488,485,482,494,475,483,502,460,509,461,470,455,486,473,503,514,512,459,488,474,480,510,468,477,489,484,495,473,480,497,462,453,466,514,501,461,475,491,474,442,461,492,515,509,462,492,489,457,472,465,506,504,492,465,494,531,488,501,473,467,496,488,510,462,514,492,490,485,450,490,462,467,460,518,473,483,509,480,479,485,507,481,476,465,477,471,489,482,489,458,496,477,497,495,482,470,476,471,518,471,489,480,432,521,459,448,501,475,488,482,478,478,478,461,511,490,487,487,471,465,475,493,464,498,463,449,471,470,486,460,483,488,456,501,467,478,445,481,474,483,430,488,461,510,473,494,482,487,470,489,498,476,466,487
b03,468,501,479,506,448,440,448,502,475,478,469,485,474,494,453,521,490,474,428,446,494,520,480,455,482,475,488,484,485,483,510,512,449,481,491,496,500,485,510,479,474,504,464,458,459,516,474,471,469,460,499,505,473,470,498,464,472,500,478,477,487,458,490,505,526,466,455,446,499,510,456,477,471,485,454,475,442,515,489,477,518,509,469,459,519,466,505,494,468,457,460,517,479,453,489,446,462,502,475,506,516,490,522,471,487,475,458,476,504,505,466,449,494,464,462,489,482,477,490,460,514,464,487,500,458,494,433,504,496,490,489,504,490,481,449,481,515,426,474,482,455,447,457,468,470,511,465,492,511,504,488,503,497,475,469,445,467,490,516,465,466,468,504,487,483,481,499,491,516,476,487,462,468,455,469,483,487,489,503,458,478,508,470,476,457,453,479,448,506,443,472,500,502,476,495,473,460,471,467,462,450,515,465,486,470,508,478,479,474,513,491,479,472,475,493,482,520,451,493,495,487,467,506,504,487,485,523,507,447,451,512,504,492,434,485,459,469,462,500,490,489,447,467,514,450,479,520,497,460,448,449,494,489,508,498,469
b04,504,490,491,483,487,512,487,475,479,494,454,510,471,501,477,486,491,506,490,465,446,516,477,480,501,503,534,464,491,501,418,471,459,488,464,488,506,460,483,501,478,491,495,513,496,497,525,465,467,501,473,478,502,471,470,470,489,490,531,498,482,464,493,521,427,450,524,446,484,480,495,521,450,455,503,447,484,511,452,480,483,497,507,477,478,466,452,514,467,471,518,478,465,452,490,429,473,490,493,469,448,500,530,499,479,488,481,474,497,507,487,521,488,473,479,485,458,420,476,479,496,478,463,531,496,456,464,484,505,493,508,478,450,478,490,447,446,480,450,496,497,453,487,514,500,447,525,464,470,530,497,465,503,507,455,490,472,499,484,442,527,442,457,501,447,482,497,490,481,480,442,494,510,497,492,472,493,487,477,482,500,442,476,497,489,453,452,515,477,493,520,506,471,475,507,508,470,466,506,473,497,457,515,493,502,478,471,476,471,484,479,514,422,473,507,475,446,481,493,494,465,468,458,454,521,494,484,519,486,459,471,511,483,459,444,491,499,477,488,495,486,466,528,468,485,447,497,476,485,494,527,477,473,483,485,478
b05,500,480,503,499,477,499,489,466,468,494,493,519,445,454,482,503,474,489,469,479,465,478,486,475,441,517,453,466,503,498,464,482,468,471,463,477,493,494,454,466,455,478,462,480,471,474,456,474,475,472,475,479,506,480,448,477,512,484,515,519,481,510,462,464,494,483,461,512,484,401,477,504,467,478,495,498,487,496,489,476,455,508,459,473,513,491,485,480,480,524,469,515,507,466,483,442,511,508,495,459,493,474,479,448,457,491,466,475,485,481,462,481,450,482,461,463,476,478,495,493,508,498,469,464,464,492,471,460,487,479,489,479,509,487,460,477,465,444,454,489,492,482,502,473,487,512,479,457,502,484,515,489,498,488,449,493,471,450,482,487,471,482,476,497,490,470,465,497,524,501,491,455,490,490,456,473,467,472,487,467,459,491,516,506,473,511,489,458,461,471,448,504,483,435,505,498,452,519,503,530,478,506,491,480,480,458,468,543,488,513,498,441,479,475,471,485,486,472,511,488,451,472,471,516,477,482,475,498,503,474,491,445,456,532,469,530,471,483,490,487,507,503,483,487,500,474,484,467,501,483,476,502,468,441,459,515
b06,500,477,497,505,460,482,458,480,456,453,506,466,467,446,496,470,486,475,480,462,498,450,494,464,472,455,480,460,455,492,478,423,438,467,502,434,494,473,471,459,477,479,489,529,461,504,436,454,471,423,482,507,457,450,458,467,449,485,482,485,494,464,493,451,436,468,491,452,459,509,477,519,468,468,474,474,465,446,449,494,504,494,548,518,482,454,483,492,498,474,483,503,483,479,449,489,449,480,451,497,497,480,499,486,457,497,502,476,512,481,478,499,494,476,459,429,461,500,479,517,446,503,533,486,466,465,470,509,472,498,476,475,490,470,473,465,471,470,478,518,538,471,494,473,464,513,513,488,459,456,502,518,506,478,473,481,489,485,481,486,490,524,503,427,446,466,433,471,472,481,514,471,492,479,455,513,483,492,475,476,440,487,464,464,445,450,494,478,441,523,478,506,492,509,478,464,499,466,508,466,464,488,542,465,489,474,436,455,520,463,522,458,481,474,458,462,487,482,531,497,469,437,454,511,512,488,479,463,500,427,483,467,508,477,475,498,485,485,415,471,485,515,455,459,472,554,455,507,460,474,478,453,483,455,498,472
b07,457,460,482,467,499,456,464,500,476,492,480,490,492,506,435,499,468,479,518,500,494,452,468,520,456,466,454,494,481,509,478,497,502,478,461,479,483,449,483,497,476,456,478,505,487,494,526,495,477,475,478,473,460,500,491,490,451,461,479,488,464,452,432,495,499,471,503,500,508,503,488,485,499,513,499,487,465,485,436,482,505,501,448,495,448,492,486,472,484,497,458,457,449,499,477,495,437,460,489,466,472,475,500,489,465,467,472,505,465,495,475,470,452,451,428,486,469,486,489,515,498,471,436,514,476,484,528,515,535,501,479,495,472,445,463,518,495,458,472,450,479,503,531,513,483,467,456,464,481,435,498,505,461,470,493,485,448,472,472,468,499,484,465,478,455,469,478,443,488,464,460,461,493,494,475,473,467,484,485,487,468,453,491,461,494,460,499,464,452,479,463,447,513,465,452,518,493,466,506,484,454,469,472,483,487,510,425,462,490,488,503,471,442,467,477,493,518,490,463,508,478,502,469,488,464,481,477,501,452,473,484,510,497,444,465,479,476,459,481,474,466,463,478,494,481,482,515,498,479,463,497,499,472,471,512,513
b08,469,493,480,463,505,478,519,485,492,429,474,478,493,513,494,514,494,482,507,492,470,503,514,428,454,449,488,443,475,481,467,478,455,479,496,473,481,484,468,477,488,465,435,482,485,476,448,442,496,483,460,485,475,457,509,494,478,467,473,478,507,490,484,501,467,490,478,468,488,491,494,481,494,515,484,468,478,488,477,491,458,517,482,500,471,451,469,479,454,522,475,480,487,495,527,465,496,514,490,461,465,464,487,480,460,542,469,478,483,494,460,508,499,489,470,488,459,507,478,514,485,484,480,461,480,496,472,493,465,480,457,492,529,457,483,472,499,473,507,478,459,456,467,490,464,482,493,467,464,418,494,514,475,518,484,475,446,496,484,488,499,489,515,458,479,475,495,492,501,486,500,484,463,456,506,464,495,515,436,507,518,527,489,447,470,450,505,501,520,469,511,456,490,491,459,478,480,459,479,442,497,475,457,442,478,469,477,534,505,446,465,476,500,470,487,471,470,461,490,463,462,498,480,531,472,506,466,507,496,541,461,445,447,457,458,473,498,454,484,451,481,459,500,467,451,459,466,458,467,515,518,500,463,515,476,466
b09,499,481,481,498,472,492,462,469,493,448,437,474,499,509,455,480,478,468,495,489,456,469,471,505,470,454,483,423,471,483,458,497,525,497,445,458,470,460,500,500,469,424,458,462,488,467,533,465,468,465,477,501,468,518,466,468,460,464,481,454,460,480,508,496,503,504,468,492,465,434,439,546,496,495,495,500,471,497,477,504,484,482,518,470,451,488,522,503,461,428,464,499,450,446,500,459,463,451,447,479,510,500,506,466,493,459,487,499,480,470,449,506,497,458,502,479,494,486,489,486,524,476,449,487,458,491,487,481,478,490,499,497,495,496,464,494,478,441,483,454,493,463,487,437,523,484,463,475,469,454,496,481,486,486,470,504,485,465,478,519,521,446,482,492,462,502,454,515,485,459,499,482,465,445,457,480,506,455,486,447,450,451,478,504,477,429,505,478,472,465,473,452,472,475,508,517,522,472,513,454,483,494,477,510,494,419,451,474,526,480,481,465,467,481,487,476,469,461,532,483,481,491,528,452,485,487,473,527,457,473,451,454,468,496,500,497,417,460,501,503,497,478,470,461,490,485,473,490,465,513,468,462,483,486,490,473
