,b00,b01,b02,b03,b04,b05,b06,b07,b08,b09,b0A,b0B,b0C,b0D,b0E,b0F,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b1A,b1B,b1C,b1D,b1E,b1F,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b2A,b2B,b2C,b2D,b2E,b2F,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b3A,b3B,b3C,b3D,b3E,b3F,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b4A,b4B,b4C,b4D,b4E,b4F,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b5A,b5B,b5C,b5D,b5E,b5F,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b6A,b6B,b6C,b6D,b6E,b6F,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b7A,b7B,b7C,b7D,b7E,b7F,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b8A,b8B,b8C,b8D,b8E,b8F,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b9A,b9B,b9C,b9D,b9E,b9F,bA0,bA1,bA2,bA3,bA4,bA5,bA6,bA7,bA8,bA9,bAA,bAB,bAC,bAD,bAE,bAF,bB0,bB1,bB2,bB3,bB4,bB5,bB6,bB7,bB8,bB9,bBA,bBB,bBC,bBD,bBE,bBF,bC0,bC1,bC2,bC3,bC4,bC5,bC6,bC7,bC8,bC9,bCA,bCB,bCC,bCD,bCE,bCF,bD0,bD1,bD2,bD3,bD4,bD5,bD6,bD7,bD8,bD9,bDA,bDB,bDC,bDD,bDE,bDF,bE0,bE1,bE2,bE3,bE4,bE5,bE6,bE7,bE8,bE9,bEA,bEB,bEC,bED,bEE,bEF,bF0,bF1,bF2,bF3,bF4,bF5,bF6,bF7,bF8,bF9,bFA,bFB,bFC,bFD,bFE,bFF
b00,652,640,661,635,658,677,625,680,703,692,651,667,660,671,644,656,672,623,688,709,664,656,626,640,653,665,649,660,673,653,650,657,626,746,612,620,678,686,644,694,709,674,631,625,676,662,711,628,653,655,666,642,687,661,658,658,647,716,645,654,686,659,711,597,687,675,685,695,647,611,674,620,675,601,641,708,672,627,633,653,680,697,653,678,652,683,668,671,680,663,684,693,667,654,693,678,661,650,661,668,648,673,641,674,683,689,662,649,689,636,637,643,616,678,665,678,706,636,689,667,638,677,668,636,636,630,677,666,630,703,664,658,666,692,674,676,656,605,685,673,630,709,688,648,730,667,669,647,642,655,701,610,666,644,633,685,656,663,684,657,681,638,663,605,687,660,670,671,658,635,704,633,698,698,631,662,746,671,661,640,679,656,660,656,668,705,680,684,628,697,693,667,628,645,625,653,667,641,647,623,664,680,661,680,635,659,677,689,691,685,638,688,651,673,648,638,661,667,644,649,665,663,663,649,640,678,696,648,671,646,656,624,639,674,681,683,654,642,682,693,682,716,666,648,667,646,665,704,650,622,634,602,700,687,687,743
b01,641,668,607,645,637,692,637,675,711,664,676,617,695,618,677,622,631,678,683,646,659,663,657,674,693,707,721,704,642,682,652,707,639,663,632,631,658,704,678,691,693,684,630,616,684,662,683,669,642,676,675,625,668,655,694,662,646,677,668,682,680,671,695,698,710,640,679,702,718,700,635,699,678,691,665,679,642,649,731,650,665,664,674,663,648,678,610,672,689,680,621,630,682,682,637,662,679,651,700,652,636,664,681,715,685,700,655,696,609,644,672,659,683,675,647,682,667,652,671,651,663,629,683,636,650,652,680,687,653,709,649,637,673,634,656,691,671,684,699,702,706,663,621,681,661,659,708,684,670,668,637,653,626,680,633,628,654,629,665,666,611,697,643,629,595,662,630,679,658,708,687,656,650,693,710,625,678,685,671,675,689,654,670,641,679,639,695,598,640,663,696,668,659,654,678,658,640,684,681,649,652,703,668,651,686,698,664,677,636,643,666,678,674,689,629,654,658,641,672,669,661,690,660,662,658,693,641,657,684,690,671,690,637,650,648,704,689,696,684,696,631,678,644,666,647,643,677,676,660,682,640,670,678,656,665,732
b02,673,669,690,653,640,678,659,690,721,702,688,685,686,666,665,649,626,656,697,646,661,707,673,656,669,689,672,644,662,678,633,690,644,681,654,605,670,633,666,671,693,673,683,610,618,641,654,663,669,700,640,661,641,652,728,671,669,677,644,652,726,663,710,709,612,667,647,665,675,703,645,656,662,714,681,683,678,647,639,671,681,663,658,662,671,632,678,649,637,655,647,642,631,666,618,646,644,652,667,666,693,677,666,637,642,679,634,700,688,644,645,674,693,691,638,633,637,642,648,645,629,679,663,625,645,681,666,701,681,643,674,629,642,630,666,704,662,665,702,677,637,704,682,696,697,649,692,625,674,629,687,675,696,660,649,708,676,654,637,663,625,639,687,668,677,667,615,648,639,665,660,633,642,647,667,700,613,697,675,671,675,677,710,673,660,680,657,655,664,638,682,668,644,671,686,650,681,655,685,676,657,619,703,675,657,690,674,663,623,691,646,646,641,642,685,694,680,659,668,631,692,628,660,661,668,652,638,706,640,643,632,648,675,670,740,701,626,647,701,664,625,643,652,653,637,641,697,680,726,684,686,633,663,641,705,652
b03,709,674,684,671,672,643,611,657,645,672,681,676,745,695,700,674,650,660,654,749,691,665,691,664,719,645,653,682,605,676,631,648,646,660,662,693,605,651,650,666,642,670,660,635,643,677,661,729,616,687,619,651,631,599,669,658,682,683,670,664,665,653,636,699,640,631,630,649,649,659,653,700,683,639,660,647,688,701,633,655,681,693,620,666,712,688,689,660,668,682,668,645,686,701,693,666,620,697,674,634,607,654,628,637,671,692,683,603,696,665,706,665,658,679,692,702,660,668,644,686,656,674,670,643,701,677,640,671,688,646,674,688,656,722,651,656,657,671,646,655,631,662,649,688,591,670,699,663,663,647,628,629,690,659,704,668,665,645,652,632,669,651,656,679,698,668,668,622,724,656,648,638,669,662,679,641,655,652,652,648,633,670,680,641,646,678,623,644,656,667,698,670,624,633,666,686,666,655,665,669,605,657,677,657,674,643,682,682,700,624,691,676,690,599,691,645,673,675,620,711,700,688,653,690,682,680,622,622,679,638,595,631,639,617,720,717,649,669,681,682,677,668,695,632,659,708,682,677,683,643,679,684,668,680,634,664
b04,644,664,632,689,671,694,664,655,656,675,634,692,677,629,676,606,636,637,680,670,679,642,657,605,704,659,653,589,675,683,705,671,659,698,670,658,688,657,679,697,702,620,660,657,666,701,658,671,651,691,617,672,650,656,650,693,660,663,678,635,682,700,651,699,686,662,652,668,675,669,664,655,643,629,647,687,615,651,702,644,681,657,653,660,637,639,611,606,654,724,675,713,646,687,664,639,661,663,623,633,632,656,656,650,663,669,675,744,632,670,677,639,673,679,681,677,638,623,651,650,673,688,639,669,641,655,658,666,675,679,678,677,684,633,661,695,661,691,657,654,667,635,646,658,678,703,673,678,635,682,649,669,621,671,690,678,674,650,667,679,657,632,684,671,683,685,690,665,632,676,670,689,687,643,680,665,679,644,638,665,645,671,693,669,677,646,700,691,663,652,674,668,672,687,687,668,680,642,669,653,644,618,645,690,673,649,678,646,644,715,691,653,667,666,661,635,691,622,713,660,707,627,649,651,644,661,696,650,636,672,600,668,631,600,703,663,689,678,648,595,690,624,639,624,663,613,696,641,689,649,619,673,649,662,679,599
b05,653,655,645,666,633,659,650,656,650,634,652,661,664,644,688,654,666,710,650,677,655,669,639,693,675,661,628,663,662,666,659,712,681,669,660,699,652,713,663,627,634,663,691,619,644,662,672,667,645,647,670,636,686,722,631,656,659,618,641,713,718,660,632,656,680,657,678,665,653,664,665,666,673,666,635,635,639,675,679,648,698,636,673,658,664,653,657,681,666,662,650,665,658,687,640,655,697,650,697,664,710,667,702,696,680,688,655,662,664,691,680,691,683,653,649,604,671,678,671,697,715,688,651,630,692,678,621,624,634,684,675,663,693,648,673,641,648,653,644,658,625,702,675,626,629,681,677,657,690,708,669,631,668,642,678,658,653,679,714,682,662,713,678,693,671,673,690,671,643,666,693,636,651,637,630,624,740,685,668,656,638,673,672,671,645,686,674,704,653,666,578,647,593,666,637,693,681,646,609,658,655,687,658,671,681,651,658,626,677,680,666,664,625,652,600,651,642,654,627,605,660,656,678,623,688,648,641,662,658,672,668,684,695,667,682,654,648,663,671,685,686,722,704,676,681,671,716,670,649,644,666,671,604,731,685,663
b06,628,641,689,635,667,708,709,693,662,674,632,720,655,670,644,630,652,676,663,687,643,684,628,637,626,629,662,678,676,652,667,636,674,711,650,651,661,637,631,679,642,682,664,671,673,695,666,670,665,676,624,658,658,668,619,662,653,664,677,651,669,654,696,668,649,677,677,653,680,657,661,665,666,657,655,674,635,639,674,642,697,661,650,715,695,668,632,628,647,696,640,694,655,670,629,626,642,684,667,675,602,646,679,678,647,685,687,682,685,678,652,671,616,711,642,634,663,668,643,628,643,631,688,696,623,675,648,709,715,658,709,610,657,739,646,661,664,685,664,636,694,677,617,683,662,703,681,677,661,663,648,692,658,722,660,685,695,712,639,686,718,673,703,668,674,732,664,660,676,656,700,665,673,663,666,699,633,625,708,691,679,634,695,690,654,678,679,626,678,686,692,673,701,648,648,640,656,638,630,637,642,600,663,693,653,730,639,677,680,670,656,667,685,614,665,678,685,708,642,669,694,718,681,629,685,701,646,655,676,622,647,670,643,650,695,599,667,632,640,657,689,653,673,648,667,668,678,650,676,659,670,641,640,649,659,664
b07,656,682,623,687,686,658,620,646,663,690,676,646,650,674,687,667,640,623,678,634,693,671,669,706,675,706,639,659,618,669,646,671,679,638,675,627,648,677,679,678,664,666,700,700,690,735,625,653,665,653,693,697,644,643,668,681,687,662,665,622,732,675,622,657,674,706,630,702,658,635,673,665,663,699,676,627,689,671,686,643,653,674,629,665,661,635,601,644,676,689,695,678,690,649,658,699,661,680,683,634,691,650,639,697,649,657,616,628,694,703,635,649,629,680,641,670,668,610,632,625,666,703,662,660,686,654,638,681,629,644,674,667,653,713,676,678,657,688,662,651,700,678,643,613,697,687,686,671,677,683,690,670,690,685,647,655,680,676,653,654,651,636,663,671,650,669,663,657,662,693,704,657,648,641,657,684,673,620,588,648,676,646,625,682,631,660,666,721,687,694,642,697,641,665,655,679,648,650,633,657,655,684,627,671,681,677,613,653,654,646,657,683,649,670,699,686,636,679,674,686,650,652,707,684,670,694,693,635,653,658,649,598,656,699,660,691,649,594,662,592,664,654,625,671,705,674,732,688,640,659,661,651,667,654,679,662
b08,661,628,633,667,622,685,632,657,728,754,616,680,640,666,653,648,655,688,650,635,693,699,680,657,641,609,677,700,643,673,695,633,655,656,659,688,640,660,655,690,651,597,661,707,676,634,674,628,686,703,646,661,650,716,711,667,657,660,682,609,659,670,652,648,645,652,717,685,708,686,646,696,653,642,666,646,606,619,592,649,679,678,685,633,683,636,678,651,675,691,690,644,654,622,681,661,693,691,669,662,669,634,649,660,693,676,657,651,633,666,661,667,669,655,702,659,663,642,637,639,631,669,645,655,638,678,659,665,629,635,680,665,628,696,645,667,678,726,688,685,700,674,662,701,639,628,638,666,661,658,650,611,663,626,639,671,668,670,673,675,685,689,648,676,715,650,652,644,701,660,657,678,672,691,641,656,687,647,680,722,658,652,662,664,674,681,655,661,697,615,668,712,674,686,702,621,703,664,698,641,662,685,664,648,634,650,598,713,667,636,697,629,690,615,661,651,691,649,672,681,634,692,646,678,653,660,687,652,649,659,673,645,668,690,665,648,697,622,665,631,652,695,666,647,633,652,649,686,644,660,662,714,635,660,669,674
b09,676,663,652,650,695,664,637,700,688,649,667,661,649,697,673,650,641,701,667,686,616,683,635,720,717,678,682,689,731,683,687,746,703,652,635,670,688,656,636,693,643,669,625,645,686,658,627,652,690,708,676,708,709,627,617,606,685,659,627,629,630,662,696,685,650,670,673,655,678,655,648,684,692,665,690,613,602,687,679,686,654,658,640,637,665,670,714,657,709,668,685,689,650,657,650,669,696,649,689,680,600,638,655,737,673,671,712,716,690,643,675,663,609,663,671,666,614,683,675,639,682,612,682,644,668,671,677,661,649,722,675,634,662,625,713,657,683,640,679,700,705,683,656,695,649,645,669,693,681,678,694,656,649,631,631,681,708,686,683,659,655,666,690,663,673,657,719,689,651,625,680,677,676,671,680,696,629,700,676,662,679,706,681,657,685,668,637,698,650,693,645,645,682,663,675,659,635,646,684,627,678,671,678,654,655,691,665,676,717,655,642,672,660,663,634,688,661,655,671,651,691,671,656,625,677,640,678,700,676,647,661,644,648,664,632,615,641,647,618,662,665,601,656,671,659,646,665,670,682,686,657,692,670,617,689,641
